國文,英文,數學,社會,自然
10,13,11,6,11
13,10,13,6,13
6,14,15,10,11
8,14,9,7,13
7,6,8,11,10
10,6,12,9,9
6,14,6,12,6
8,13,7,12,11
6,6,7,14,10
15,11,6,7,15
10,8,8,8,15
9,11,13,11,7
7,10,10,8,9
10,14,15,10,10
14,6,10,8,7
7,13,15,7,8
15,11,13,6,10
14,6,14,15,6
10,8,12,11,9
10,11,8,14,7
15,9,6,13,8
7,13,14,12,15
6,11,6,15,8
8,6,11,14,6
10,11,10,15,15
14,6,10,14,14
13,13,6,7,12
10,9,14,13,15
12,8,8,11,12
10,6,14,6,10
12,13,10,14,6
14,14,13,12,10
11,9,11,11,10
9,7,8,12,11
15,10,14,11,8
14,15,12,10,12
6,10,14,13,12
14,14,10,8,13
13,14,9,6,7
12,14,14,7,14
11,12,12,8,6
6,12,14,8,11
13,15,14,13,10
8,10,6,10,15
7,11,13,15,7
7,11,9,8,13
6,11,12,10,6
10,7,15,8,15
12,9,13,13,8
6,9,9,10,6
6,10,14,15,15
15,9,8,9,8
15,10,10,10,13
10,8,8,6,9
15,8,10,13,14
13,15,9,15,13
6,11,13,14,6
13,8,14,8,14
13,8,8,8,10
9,12,11,7,15
9,6,12,14,11
7,10,13,11,9
7,14,8,8,6
12,9,9,14,10
9,11,9,8,6
8,6,10,8,13
9,12,12,10,9
8,8,11,6,12
7,12,9,11,13
12,14,10,11,10
13,6,6,8,9
14,10,12,10,12
15,9,9,9,7
12,11,11,9,6
14,11,6,14,13
9,7,14,13,14
11,12,11,11,9
7,9,11,9,12
7,10,12,7,10
8,6,13,15,11
15,12,9,9,13
9,7,12,7,9
14,11,13,11,12
15,10,7,7,10
9,14,8,10,15
15,8,7,12,12
11,13,9,12,11
7,11,14,10,10
10,13,14,7,15
14,11,13,15,9
13,6,15,15,14
6,8,8,14,13
15,7,6,14,12
9,11,6,10,9
8,8,15,12,8
7,8,11,14,7
7,12,13,14,15
14,6,13,6,7
13,13,9,6,14
7,9,12,11,11
